id;name;onvan_shoghli;code_perseneli;bezaneshate;sazmani;tarikh_bazneshastegi
1;methodologies;Kroon RSS collaborative;Cheese;true;true;2020-11-26T20:55:04
2;Granite JSON;Buckinghamshire;AI;true;true;2020-11-27T12:57:14
3;Operations Handmade Rubber Hat;unleash Centralized time-frame;invoice Cotton;true;false;2020-11-27T06:39:18
4;online Metrics;Metal Oregon;dot-com transitional bypass;false;false;2020-11-26T15:28:10
5;Intelligent Producer Ball;Auto Loan Account backing up;Junctions benchmark;false;false;2020-11-27T06:35:52
6;Electronics primary;haptic Money Market Account Idaho;Borders Lao People's Democratic Republic wireless;true;false;2020-11-26T20:55:19
7;wireless;Cape Verde;Licensed Frozen Shoes optical;false;false;2020-11-27T11:19:03
8;Auto Loan Account Developer Fresh;multi-byte lavender Computer;Concrete;true;true;2020-11-26T15:21:11
9;6th generation deposit input;Cambridgeshire deposit;mobile Garden Future;false;false;2020-11-26T17:42:50
10;copy eyeballs Table;Practical;Credit Card Account sensor;true;true;2020-11-26T19:36:31
